"z","Y","std","Y1","Y0","smooth_spline"
0.5128,1,0.2049,1,1,0.0174813768001493
0.079,1,0.2071,1,1,0.142451050026535
-0.9854,0,0.2513,1,0,0.572250360119416
-1.1188,0,0.2662,0,0,0.485314997372603
-0.6775,0,0.2293,1,0,0.626083932345254
0.2163,1,0.2052,1,1,0.0785355059341653
-1.0993,0,0.3259,0,0,0.498759590002521
-0.2918,1,0.2407,1,1,0.426187953248654
-0.9771,0,0.2504,1,0,0.576858937008745
-0.9326,0,0.246,0,0,0.598928758161176
-0.3775,1,0.2212,1,1,0.491716730922026
-0.1171,1,0.2552,1,1,0.27987911749091
-0.3137,1,0.2185,1,1,0.443572168435056
0.7131,1,0.2084,1,1,0.00496102185460716
-0.1657,1,0.2509,1,1,0.320630998106467
0.9351,1,0.2173,1,1,0.00108450134421749
0.4354,1,0.2044,1,1,0.0267592986765604
-0.1004,1,0.2567,1,0,0.266281210519606
-1.4219,0,0.3029,1,0,0.319431991591141
-1.1952,0,0.2753,0,0,0.434710571560642
-0.1331,1,0.2121,1,1,0.293130363801155
-0.0064,1,0.2088,1,1,0.195966711929908
-0.3686,0,0.2354,1,0,0.48528668180526
-0.0841,1,0.2108,1,1,0.25326756117691
-0.2829,0,0.2413,1,0,0.419023781832642
-0.1021,1,0.2113,1,0,0.267653849320317
-0.0936,1,0.2573,1,1,0.260818507381777
-0.4408,0,0.2316,1,0,0.534049945334018
-1.0379,0,0.257,0,0,0.540279700298278
-0.1187,1,0.2117,1,1,0.281194870990068
-0.5497,0,0.2283,1,0,0.588844629624444
0.2083,1,0.2052,1,1,0.0814226055865703
-0.4853,0,0.2298,1,0,0.559380110091577
0.3629,1,0.2043,1,0,0.0391797919230204
-1.136,0,0.2682,1,0,0.473545966547112
-0.1839,1,0.2494,1,1,0.336149995344352
0.0333,1,0.208,1,1,0.169882610470786
-0.3881,0,0.2343,1,0,0.499235682047518
0.0692,1,0.2073,1,1,0.148100979266394
0.2222,1,0.2051,1,1,0.0764681043893127
0.1443,1,0.206,1,1,0.108246446683432
-0.2145,1,0.2468,1,1,0.362216129897034
-0.1889,1,0.2489,1,0,0.340416816861251
-0.3648,0,0.2357,1,0,0.482509513102447
-0.1468,1,0.2526,1,0,0.304621008007402
-0.0467,1,0.2098,1,1,0.224633810028799
-0.4466,0,0.2313,1,0,0.537578911608029
-0.6066,0,0.2281,0,0,0.608479810633765
-0.344,0,0.237,1,0,0.466989566584073
-2.0927,0,0.3439,0,0,0.0934437612526964
-0.3842,0,0.2215,1,0,0.4964872549438
-0.0974,1,0.2111,1,0,0.263865589905464
0.9036,1,0.2157,1,1,0.00125417166630386
-0.387,1,0.2216,1,1,0.498462632637184
-1.2268,0,0.2791,0,0,0.415551809749467
0.2258,1,0.2051,1,1,0.0752318536239131
-1.0132,0,0.2542,0,0,0.555878387977092
-0.1902,1,0.2139,1,0,0.341525975637939
-0.1438,1,0.2125,1,1,0.302095315473665
-2.1754,0,0.348,0,0,0.0744635246237098
-1.6449,0,0.3305,0,0,0.230664666308313
-0.2702,0,0.2168,1,0,0.408705858966645
-0.2048,0,0.2476,1,0,0.353970074980224
0.7337,1,0.209,1,1,0.00424909430141057
0.1944,1,0.2054,1,1,0.086675117566122
-0.6778,0,0.2293,1,0,0.626140186922102
0.5431,1,0.2052,1,1,0.0147293454140137
0.3606,1,0.2043,1,1,0.0396403695540885
